category;article;title;price;discount_price;discount_sign;in_stock;description;brand;url_image
Шины и диски;1000886;Диск ALCASTA M23 [M23 6x15/4x100 ET40 DIA60,1];3456;2592;1;3;;ALCASTA;http://magazilla.ru/jpg_zoom1/435026.jpg http://mzimg.com/big/j1/eiw3d2b9tj1.jpg
Шины и диски;1000888;Диск ALCASTA M27 [M27 6,5x16/5x112 ET46 DIA57,1];4018;3415;1;8;;ALCASTA;http://mzimg.com/big/u1/eiw4lpcoiu1.jpg http://mzimg.com/big/g1/eiw4m5oeeg1.jpg http://mzimg.com/big/x1/eiw4mbloex1.jpg http://mzimg.com/big/a1/eiw4mflxea1.jpg
Шины и диски;1000900;Диск Cross Street Y4601 [Y4601 6x15/4x108 ET50 DIA63,3];3456;3456;0;12;;Cross Street;http://magazilla.ru/jpg/738877.jpg
Шины и диски;1000901;Диск Cross Street Y5314 [Y5314 6,5x16/5x112 ET46 DIA57,1];3854;2891;1;13;;Cross Street;http://magazilla.ru/jpg/738890.jpg
Шины и диски;1000903;Диск Cross Street Y969 [Y969 6x14/4x100 ET35 DIA73,1];2614;2222;1;12;;Cross Street;http://magazilla.ru/jpg/799336.jpg
Шины и диски;1000906;Диск Enkei LM01 [LM01 8,5x20/5x120 ET45 DIA72,6];13750;13750;0;8;;Enkei;http://magazilla.ru/jpg_zoom1/532635.jpg http://mzimg.com/big/s1/epbd67e5ds1.jpg
Шины и диски;1000909;Диск Enkei PF01 [PF01 8,5x18/5x114,3 ET35 DIA75,1];19910;14933;1;12;;Enkei;http://magazilla.ru/jpg_zoom1/799413.jpg http://mzimg.com/big/31/f30yq3a6a31.jpg http://mzimg.com/big/01/f30yq9lfq01.jpg http://mzimg.com/big/p1/f30yqf2o6p1.jpg
Шины и диски;1000910;Диск Enkei PF01 [PF01 9x18/5x114,3 ET35 DIA75,1];19910;16924;1;12;;Enkei;http://magazilla.ru/jpg_zoom1/799413.jpg http://mzimg.com/big/31/f30yq3a6a31.jpg http://mzimg.com/big/01/f30yq9lfq01.jpg http://mzimg.com/big/p1/f30yqf2o6p1.jpg
Мобильные и аксессуары;1003268;Мобильный телефон Nokia 150 Dual Sim;2054;2054;0;11;"Вес (г): 81; Размеры (мм): 118х50.2х13.5; Емкость (мАч): 1200; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; Bluetooth; GPRS; Вспышка; Камера (основная): 0.3; разрешение (пикс): 320x240; Основной дисплей: дисплей (""): 2.4; Корпус: моноблок; Режим работы SIM-карт: попеременный ";Nokia;http://magazilla.ru/jpg_zoom1/1003268.jpg http://mzimg.com/big/v1/faqb3fcxfv1.png http://mzimg.com/big/d1/faqb6u5b6d1.jpg http://mzimg.com/big/e1/faqb6zp8re1.jpg
Мобильные и аксессуары;1003269;Мобильный телефон Nokia 150;2739;2054;1;2;"Вес (г): 81; Размеры (мм): 118х50.2х13.5; Емкость (мАч): 1200; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; Bluetooth; GPRS; Вспышка; Камера (основная): 0.3; разрешение (пикс): 320x240; Основной дисплей: дисплей (""): 2.4; Корпус: моноблок; ОС: отсутствует; GSM; Тип устройства: телефон";Nokia;http://magazilla.ru/jpg_zoom1/1003269.jpg http://mzimg.com/big/g1/faqays1pxg1.png http://mzimg.com/big/e1/faqb0jq36e1.jpg http://mzimg.com/big/g1/faqb0psscg1.jpg http://moscow.shop.megafon.ru/images/goods/982/98225_p_8_3.jpg http://moscow.shop.megafon.ru/images/goods/982/98227_p_8_3.jpg
Мобильные и аксессуары;1004978;Мобильный телефон Lenovo Vibe K5 Note Pro;12639;10743;1;2;"Вес (г): 165; Размеры (мм): 152x75.7x8.5; Емкость (мАч): 3500; Аккумулятор: Li-Pol; фонарик; шумоподавление; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; NFC-чип; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1920х1080";Lenovo;http://magazilla.ru/jpg_zoom1/1004978.jpg http://mzimg.com/big/21/fasyxz5zm21.png http://mzimg.com/big/o1/fasz0d86ro1.png http://mzimg.com/big/b1/fasz2mmgeb1.jpg http://mzimg.com/big/e1/fasz2u1qie1.jpg http://mzimg.com/big/q1/fasyuoo80q1.jpg http://mzimg.com/big/s1/fasz1z4m0s1.jpg
Мобильные и аксессуары;100538;Мобильный телефон Nokia N8;5709;5709;0;13;«Флагманский» смартфон 2010 года, первое устройство под управлением Symbian^3 (хотя каких-либо коренных изменений операционная система не претерпела). Оснащён сенсорным экраном с поддержкой мультитач, 12-мегапиксельная камера позволяет снимать HD-видео 720p. Есть разъём HDMI, однако стандартный кабель к нему не подходит. Батарея имеет довольно невысокую ёмкость для своего класса. ;Nokia;http://magazilla.ru/jpg_zoom1/100538.jpg http://mzimg.com/big/d6/d507b884hd6.jpg http://mzimg.com/big/74/d5c73wm9574.jpg http://mzimg.com/big/a2/d5mmb3ga0a2.jpg http://mzimg.com/big/c6/dfgqz8fdkc6.jpg http://mzimg.com/big/a2/d5mm3xd43a2.jpg http://mzimg.com/big/w2/d5mmap33tw2.jpg http://mzimg.com/big/22/d5mmbjgij22.jpg http://mzimg.com/big/b1/dgv4ucurvb1.jpg http://mzimg.com/big/61/dgv4vh8wu61.jpg http://mzimg.com/big/04/dvo41lwli04.jpg http://i4.dixis.net/1/7763/77628005/afacdb/nokia-n8.jpg http://i4.dixis.net/1/7763/77628005/afacdb/nokia-n8.jpg http://originaltrade.ru/wa-data/public/shop/products/64/19/1964/images/3181/3181.970.jpg http://i4.dixis.net/1/7763/77628005/afacdb/nokia-n8.jpg http://i4.dixis.net/1/7763/77628005/afacdb/nokia-n8.jpg http://i4.dixis.net/1/7763/77628005/afacdb/nokia-n8.jpg
Мобильные и аксессуары;1006879;Мобильный телефон Homtom HT16;4508;3381;1;2;"Вес (г): 130; Размеры (мм): 144x72.1x8.9; Емкость (мАч): 3000; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; GPS-модуль; aGPS; USB хост; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Камера (основная): 8; Слот для карт; Память (ГБ): 8; ОЗУ (ГБ): 1; Графический процессор: ARM Mali-400 MP2";Homtom;http://magazilla.ru/jpg_zoom1/1006879.jpg http://mzimg.com/big/v1/faxby3nrzv1.jpg http://mzimg.com/big/51/faxbyb55851.jpg http://mzimg.com/big/g1/faxbyks7ug1.jpg http://mzimg.com/big/71/faxbzvrzl71.jpg http://mzimg.com/big/u1/faxc02vqiu1.jpg http://mzimg.com/big/71/faxc0fgqa71.jpg http://mzimg.com/big/91/faxc0ozqx91.jpg
Мобильные и аксессуары;1006904;Мобильный телефон Homtom HT20;8138;6917;1;15;"Размеры (мм): 154x77.8x8.9; Емкость (мАч): 3500; Аккумулятор: Li-Ion; ударозащита; пыле-, влагозащита; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Камера (основная): 13; Слот для карт; Память (ГБ): 16; ОЗУ (ГБ): 2; Графический процессор: ARM Mali-T720 ";Homtom;http://magazilla.ru/jpg_zoom1/1006904.jpg http://mzimg.com/big/a1/faxc9yhg6a1.jpg http://mzimg.com/big/11/faxca9pks11.jpg http://mzimg.com/big/y1/faxcahnucy1.jpg http://mzimg.com/big/v1/faxcaspgyv1.jpg http://mzimg.com/big/z1/faxcayjqez1.jpg http://mzimg.com/big/11/faxcb77ue11.jpg http://mobicom-m.ru/image/cache/catalog/products/homtom/homtom-ht20/homtom-ht20-16gb-green-600x600.jpg http://mobicom-m.ru/image/cache/catalog/products/homtom/homtom-ht20/homtom-ht20-16gb-orange-600x600.jpg http://mobicom-m.ru/image/cache/catalog/products/homtom/homtom-ht20/homtom-ht20-16gb-black-600x600.jpg http://mobicom-m.ru/image/cache/catalog/products/homtom/homtom-ht20/homtom-ht20-16gb-white-600x600.jpg
Мобильные и аксессуары;1006919;Мобильный телефон Homtom HT3;4508;4508;0;15;"Вес (г): 150; Размеры (мм): 145.3х73х7.5; Емкость (мАч): 3000; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; FM-приемник; GPS-модуль; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Камера (основная): 5; Слот для карт; Память (ГБ): 8; ОЗУ (ГБ): 1; Графический процессор: ARM Mali-400 MP1 ";Homtom;http://magazilla.ru/jpg_zoom1/1006919.jpg http://mzimg.com/big/u1/faxcoardzu1.jpg http://mzimg.com/big/f1/faxcokjyyf1.jpg http://mzimg.com/big/y1/faxcosrs5y1.jpg http://ltmix.ru/image/cache/data/smart-homtom/ht3/homtom-ht3-chernyj-1-600x600.jpg http://ltmix.ru/image/cache/data/smart-homtom/ht3/homtom-ht3-1-600x600.jpg
Мобильные и аксессуары;1007063;Мобильный телефон Homtom HT7;4728;3546;1;11;"Вес (г): 170; Размеры (мм): 153.8x77x9.9; Емкость (мАч): 3000; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Камера (основная): 5; AnTuTu Benchmark: 24312; Слот для карт; Память (ГБ): 8; ОЗУ (ГБ): 1; Графический процессор: ARM Mali-400 MP ";Homtom;http://magazilla.ru/jpg_zoom1/1007063.jpg http://mzimg.com/big/w1/faxfnyamow1.jpg http://mzimg.com/big/z1/faxfoae7jz1.jpg http://mzimg.com/big/p1/faxfofqw1p1.jpg http://mzimg.com/big/q1/faxfom097q1.jpg http://mzimg.com/big/m1/faxfov86wm1.jpg http://mzimg.com/big/j1/faxfo611sj1.jpg http://mzimg.com/big/j1/faxfp0g5tj1.jpg http://ltmix.ru/image/cache/data/smart-homtom/ht7/homtom-ht7-chernyj-1-600x600.jpg http://ltmix.ru/image/data/smart-homtom/ht7/homtom-ht7-belyj-2.jpg
Мобильные и аксессуары;1007866;Мобильный телефон Philips X586;7249;6162;1;15;"Вес (г): 168; Размеры (мм): 144.2х71.8х8.9; Емкость (мАч): 3000; Аккумулятор: Li-Ion; фонарик; mini-Jack (3.5 мм); microUSB; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1280x720; Камера (основная): 13; Слот для карт; Память (ГБ): 16; ОЗУ (ГБ): 2; Графический процессор: ARM Mali-T720 MP2";Philips;http://magazilla.ru/jpg_zoom1/1007866.jpg http://mzimg.com/big/91/faxmr77zq91.jpg http://mzimg.com/big/p1/faxmrdw3sp1.jpg http://mzimg.com/big/31/faxmrk55b31.jpg http://1cena.ru/media/images/items/ http://files.oldi.ru/export/0000000022/0461464_5.jpg http://items.s1.citilink.ru/410584_v01_b.jpg
